firstname_initial;lastname
L R;Asmundsdottir
M;Asmuss
M H;Asmussen
L;Asnaghi
F;Asomaning
M T;Asoo
H L;Aspenson
A;Asperger
W;Asperi
W;Aspinall
A M;Assabri
R;Assadi
F;Assal
R;Assandri
D;Assanelli
M;Assay
E B;Assayag
E;Asselin
R;Assfalg
H;Asshoff
V L;Assmann
A;Assmann
G;Assmann
M;Assmann
H;Aste
J C;Aster
S;Asteriadis
S;Asteriti
S;Astigiano
S;Astner
P;Astoul
A;Astrup
B O;Asvold
K;Aswath
F;Asyari
B;Atac
K;Atak
A;Atala
E;Atalah
C;Atalay
D;Atanackovic
A G;Atanasov
P G;Atanassoff
D;Atar
R;Atarashi
G C;Atella
E;Athanasakos
A;Athanasiadis
T;Athanasiou
K;Athanassiadi
G;Athanassiou
G;Athas
D;Athen
S S;Atherton
K;Atiah
J D;Atkin
K A;Atkins
D;Atkins
S;Atkins
L S;Atkins
D E;Atkinson
M W;Atkinson
H H;Atkinson
F L;Atkinson
C R;Atlin
N;Atnafu
J;Atorf
A;Atrasheuskaya
A;Atreja
M;Attal
A;Attar
L D;Attardi
L;Attardo
M;Attur
R;Atun
F;Atzeni
J A;Au
W W L;Au
J A D;Au
A K;Au
M P;Auada
P;Auberger
C E;Aubert
V;Aubert
F;Aubin
R;Aubry
Y;Aubry
G;Auburger
I A;Auckbur
L;Audige
M J;Audin
M J C;Audin
M P;Audrezet
F;Auer
J A;Auer
R;Auer
J;Auer
M;Aufderheide
L;Aufegger
R;Aufieri
A;Aufschnaiter
P;Augat
J;Auge
T;Augelletti
T;Augenstein
G;Auger
M;Augsburger
K;August
C;August
C;Augustin
M A;Augustin
H G;Augustin
M;Augustin
D;Aujesky
D A;Aujesky
T;Aujla
S M;Aukema
S L;Aukerman
K;Aull
T;Aumann
A;Aumann
H W;Auner
A;Auraaen
M;Aureli
L;Aurelian
G D;Auria
F;Auricchio
J;Aurich
J C;Aurich
G;Auriemma
M T;Aurilio
V;Aushev
D;Ausserhofer
B;Aust
S;Austad
M;Austel
C P;Austin
J M H;Austin
M;Austin
R;Autelli
A;Autieri
M;Auzanneau
M;Auzou
L;Avagliano
L;Avalli
M;Avallone
Y;Avalos
M;Avanesov
M L;Avantaggiati
T;Avcin
S;Aveic
C A;Aveleira
C;Avella
T;Averbeck
G S;Averichev
M;Averna
M A;Avila
P;Avino
N;Avissar
A;Avogaro
E F G A;Avokpaho
M;Avolio
F;Avossa
A;Avots
L;Avrahami
T G;Avval
S;Awad
S;Awale
A;Awasthi
S;Awel
B;Awuah
D I S;Axel
E D;Axford
D;Axmann
H;Ay
M;Ayachit
P;Ayala
L;Ayalon
L L;Ayat
C C;Aybar
B;Aydeniz
Y;Aydin
H;Aydin
M D;Aydin
U;Aydingoz
A B;Aydogan
B;Ayestaray
A;Ayim
O;Aykac
A S;Aylsworth
P E;Aylward
S;Ayme
M;Ayodele
H N;Ayonayon
N A;Ayoub
S;Ayton
E L;Ayuni
E;Ayuni
S;Ayyadevara
I;Ayzman
N;Azad
D;Azagury
H;Azami
M;Azar
L;Azario
T;Aze
L F;Azenha
L A D;Azeredo
V A D C;Azevedo
N A;Azevedo
C;Azimpour
S A;Aziz
A K A;Aziz
D A;Aziz
E F;Aziz
Z A;Aziz
R;Aznar
A;Azoitei
N;Azoitei
R D;Azulay
Y;Azuma
C;Azzari
M;Azzawi
A;Azzola
P;Azzopardi
M;Azzopardi
F E E;Azzouzi
R H;B
M A E;Baars
F;Baas
M;Baba
H A;Baba
A;Babaei
S;Babaeizadeh
L;Babb
B A;Babbin
V L;Babikian
C;Babiloni
F;Babiloni
W;Bablok
R;Babst
M M;Babu
K;Babu
R;Babul
P S;Babyn
V;Baca
R;Bacchin
G;Bacchini
L;Baccigalupi
F;Baccini
F M;Baccino
L;Bacete
P;Bach
C;Bach
F H;Bach
O;Bach
I;Bach
U;Bacha
J;Bachand
N;Bache
M;Bache
P;Bachellier
G;Bacher
P;Bachert
C;Bachetti
T;Bachetti
E B;Bachli
V F;Bachman
M;Bachmann
C;Bachmann
P;Bachmann
S;Bachmann
M F;Bachmann
L M;Bachmann
T T;Bachmann
I;Bachmann
B E;Bachmeier
B;Bachmeier
D;Baci
C A;Bacino
K;Back
C;Back
J J;Back
J M;Backer
L;Backert
L M;Backes
W H;Backes
R;Backofen
S K;Backues
D;Backus
J E;Backvall
P H;Backx
C;Bacon
N G;Bacopoulos
E;Badamgarav
M N;Badano
A;Badawi
A P;Baddorf
P;Bader
M;Bader
K C;Bader
J E;Bader
P;Badertscher
L;Badet
R L;Badge
D;Badiali
B;Badibanga
F;Badilini
A;Badillo
G;Badoni
